candidate,numeric_features,boolean_bits,positive_and_negated_literals,literal_chunks_32bit,relative_literal_chunk_scan_vs_256bit_reference,dense_float64_encoded_50000_bytes,uint32_encoded_50000_bytes,ta_state_word_payload_200clauses_8statebits_bytes,pico_max_history_samples,pico_history_and_sum_state_bytes_scan_range,pico_range_monotonic_deques_worst_case_bytes,pico_numeric_feature_buffer_bytes,pico_packed_boolean_buffer_bytes,pico_uint32_boolean_buffer_bytes,pico_threshold_storage_if_float32_const_bytes,pico_working_ram_scan_range_packed_bits_bytes,pico_working_ram_scan_range_uint32_bits_bytes,pico_working_ram_monotonic_range_packed_bits_bytes
C8_level_delta_mean_residual_h4_h16_h64,8,56,112,4,0.25,22400000,11200000,25600,64,284,0,32,7,224,224,323,540,323
C11_C8_plus_range_h4_h16_h64,11,74,148,5,0.3125,29600000,14800000,32000,64,284,672,44,10,296,296,338,624,1010
C14_C11_plus_mean_residual_range_h256,14,94,188,6,0.375,37600000,18800000,38400,256,1056,2720,56,12,376,376,1124,1488,3844
