scope,metric,value,unit,aggregation,sample_std,seed_values
dish washer,seed_fold_mean_f1,0.21339125488123017,ratio,unweighted F1-F4 mean within each seed; mean across five seeds,0.018117993143251777,"[0.23761752136752137,0.21058174702010318,0.19803263758564046,0.2255937914273089,0.195130577005577]"
fridge,seed_fold_mean_f1,0.42167938259318494,ratio,unweighted F1-F4 mean within each seed; mean across five seeds,0.017083083900118798,"[0.4463532289273815,0.42510401391906644,0.4204764106143408,0.41781466097983905,0.39864859852529677]"
microwave,seed_fold_mean_f1,0.269957225055473,ratio,unweighted F1-F4 mean within each seed; mean across five seeds,0.020825136079034693,"[0.238497150997151,0.2749073237080062,0.2612643330385266,0.2911166164258573,0.28400070110782377]"
full_eligible_macro_2class,macro_seed_fold_mean_f1,0.34581830382432893,ratio,appliance-unweighted macro of each seed's unweighted F1-F4 mean; mean across five seeds,0.006093000187353279,"[0.34242518996226623,0.35000566881353634,0.3408703718264337,0.3544656387028482,0.3413246498165603]"
development_scope_macro_3class,macro_seed_fold_mean_f1,0.30167595417662935,ratio,appliance-unweighted macro of each seed's unweighted F1-F4 mean; mean across five seeds,0.008474558968125403,"[0.3074893004306846,0.30353102821572525,0.2932577937461693,0.31150835627766843,0.29259329221289915]"
