fold,seed,scope,boundary,median_value,p95_value,unit,serialized_inference_bytes,shared_encoder_bytes,complete_bundle_bytes,warmups,timed_calls,batch_size
F2,0,development_scope_macro_3class,named ensemble TM evaluations,636650.0,1180604.9999999995,ns,13242,1300,14542,100,1000,1
F2,0,development_scope_macro_3class,Booleanisation plus named ensemble,834950.0,1297825.0,ns,13242,1300,14542,100,1000,1
F2,0,algorithmic_waiting,onset-to-output samples,21.0,181.44999999999993,samples,,,,0,1012,1
F2,0,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,1012,1
F2,1,fridge,TM evaluation only,279200.0,381464.99999999994,ns,4366,1300,5666,100,1000,1
F2,1,microwave,TM evaluation only,215300.0,424694.9999999995,ns,4296,1300,5596,100,1000,1
F2,1,dish washer,TM evaluation only,263100.0,361610.0,ns,4676,1300,5976,100,1000,1
F2,1,full_eligible_macro_2class,named ensemble TM evaluations,380150.0,698969.9999999999,ns,8662,1300,9962,100,1000,1
F2,1,full_eligible_macro_2class,Booleanisation plus named ensemble,488250.0,881505.0,ns,8662,1300,9962,100,1000,1
F2,1,development_scope_macro_3class,named ensemble TM evaluations,738950.0,1239690.0,ns,13338,1300,14638,100,1000,1
F2,1,development_scope_macro_3class,Booleanisation plus named ensemble,653950.0,1131994.9999999998,ns,13338,1300,14638,100,1000,1
F2,1,algorithmic_waiting,onset-to-output samples,21.0,181.44999999999993,samples,,,,0,1012,1
F2,1,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,1012,1
F2,2,fridge,TM evaluation only,370100.0,604724.9999999999,ns,4332,1300,5632,100,1000,1
F2,2,microwave,TM evaluation only,358450.0,486425.0,ns,4530,1300,5830,100,1000,1
F2,2,dish washer,TM evaluation only,351500.0,496449.99999999994,ns,4876,1300,6176,100,1000,1
F2,2,full_eligible_macro_2class,named ensemble TM evaluations,671700.0,961379.9999999999,ns,8862,1300,10162,100,1000,1
F2,2,full_eligible_macro_2class,Booleanisation plus named ensemble,647950.0,896084.9999999999,ns,8862,1300,10162,100,1000,1
F2,2,development_scope_macro_3class,named ensemble TM evaluations,906750.0,1241610.0,ns,13738,1300,15038,100,1000,1
F2,2,development_scope_macro_3class,Booleanisation plus named ensemble,1114250.0,1555234.9999999998,ns,13738,1300,15038,100,1000,1
F2,2,algorithmic_waiting,onset-to-output samples,21.0,181.44999999999993,samples,,,,0,1012,1
F2,2,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,1012,1
F2,3,fridge,TM evaluation only,300900.0,447234.99999999994,ns,4398,1300,5698,100,1000,1
F2,3,microwave,TM evaluation only,296800.0,423704.9999999999,ns,4268,1300,5568,100,1000,1
F2,3,dish washer,TM evaluation only,292750.0,390979.99999999994,ns,4834,1300,6134,100,1000,1
F2,3,full_eligible_macro_2class,named ensemble TM evaluations,572100.0,792515.0,ns,8666,1300,9966,100,1000,1
F2,3,full_eligible_macro_2class,Booleanisation plus named ensemble,672400.0,915894.9999999999,ns,8666,1300,9966,100,1000,1
F2,3,development_scope_macro_3class,named ensemble TM evaluations,910650.0,1247259.9999999995,ns,13500,1300,14800,100,1000,1
F2,3,development_scope_macro_3class,Booleanisation plus named ensemble,1019250.0,1438429.9999999998,ns,13500,1300,14800,100,1000,1
F2,3,algorithmic_waiting,onset-to-output samples,21.0,181.44999999999993,samples,,,,0,1012,1
F2,3,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,1012,1
F2,4,fridge,TM evaluation only,186600.0,352410.0,ns,4280,1300,5580,100,1000,1
F2,4,microwave,TM evaluation only,184650.0,348659.99999999977,ns,4326,1300,5626,100,1000,1
F2,4,dish washer,TM evaluation only,283600.0,481630.0,ns,4674,1300,5974,100,1000,1
F2,4,full_eligible_macro_2class,named ensemble TM evaluations,454400.0,768915.0,ns,8606,1300,9906,100,1000,1
F2,4,full_eligible_macro_2class,Booleanisation plus named ensemble,658550.0,1016709.9999999999,ns,8606,1300,9906,100,1000,1
F2,4,development_scope_macro_3class,named ensemble TM evaluations,633450.0,1166659.9999999998,ns,13280,1300,14580,100,1000,1
F2,4,development_scope_macro_3class,Booleanisation plus named ensemble,721400.0,1314994.9999999998,ns,13280,1300,14580,100,1000,1
F2,4,algorithmic_waiting,onset-to-output samples,21.0,181.44999999999993,samples,,,,0,1012,1
F2,4,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,1012,1
F3,0,fridge,TM evaluation only,343900.0,520989.99999999994,ns,4332,1298,5630,100,1000,1
F3,0,microwave,TM evaluation only,285950.0,454615.0,ns,4356,1298,5654,100,1000,1
F3,0,dish washer,TM evaluation only,203100.0,410405.0,ns,5226,1298,6524,100,1000,1
F3,0,full_eligible_macro_2class,named ensemble TM evaluations,569300.0,874005.0,ns,8688,1298,9986,100,1000,1
F3,0,full_eligible_macro_2class,Booleanisation plus named ensemble,490950.0,875664.9999999998,ns,8688,1298,9986,100,1000,1
F3,0,development_scope_macro_3class,named ensemble TM evaluations,743800.0,1241065.0,ns,13914,1298,15212,100,1000,1
F3,0,development_scope_macro_3class,Booleanisation plus named ensemble,720200.0,1275210.0,ns,13914,1298,15212,100,1000,1
F3,0,algorithmic_waiting,onset-to-output samples,33.0,205.7,samples,,,,0,527,1
F3,0,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,527,1
F3,1,fridge,TM evaluation only,363950.0,442305.0,ns,4530,1298,5828,100,1000,1
F3,1,microwave,TM evaluation only,364250.0,464820.0,ns,4244,1298,5542,100,1000,1
F3,1,dish washer,TM evaluation only,349550.0,468404.9999999998,ns,5130,1298,6428,100,1000,1
F3,1,full_eligible_macro_2class,named ensemble TM evaluations,717800.0,859835.0,ns,8774,1298,10072,100,1000,1
F3,1,full_eligible_macro_2class,Booleanisation plus named ensemble,795200.0,1049400.0,ns,8774,1298,10072,100,1000,1
F3,1,development_scope_macro_3class,named ensemble TM evaluations,1101250.0,1343345.0,ns,13904,1298,15202,100,1000,1
F3,1,development_scope_macro_3class,Booleanisation plus named ensemble,1232850.0,1515920.0,ns,13904,1298,15202,100,1000,1
F3,1,algorithmic_waiting,onset-to-output samples,33.0,205.7,samples,,,,0,527,1
F3,1,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,527,1
F3,2,fridge,TM evaluation only,284600.0,435144.99999999994,ns,4476,1298,5774,100,1000,1
F3,2,microwave,TM evaluation only,191150.0,362169.99999999994,ns,4480,1298,5778,100,1000,1
F3,2,dish washer,TM evaluation only,213250.0,431310.0,ns,4946,1298,6244,100,1000,1
F3,2,full_eligible_macro_2class,named ensemble TM evaluations,465100.0,882525.0,ns,8956,1298,10254,100,1000,1
F3,2,full_eligible_macro_2class,Booleanisation plus named ensemble,487350.0,931379.9999999999,ns,8956,1298,10254,100,1000,1
F3,2,development_scope_macro_3class,named ensemble TM evaluations,658150.0,1222684.9999999993,ns,13902,1298,15200,100,1000,1
F3,2,development_scope_macro_3class,Booleanisation plus named ensemble,729600.0,1413785.0,ns,13902,1298,15200,100,1000,1
F3,2,algorithmic_waiting,onset-to-output samples,33.0,205.7,samples,,,,0,527,1
F3,2,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,527,1
F3,3,fridge,TM evaluation only,286550.0,480254.99999999965,ns,4630,1298,5928,100,1000,1
F3,3,microwave,TM evaluation only,257900.0,404334.99999999994,ns,4334,1298,5632,100,1000,1
F3,3,dish washer,TM evaluation only,225950.0,414830.0,ns,4968,1298,6266,100,1000,1
F3,3,full_eligible_macro_2class,named ensemble TM evaluations,456500.0,785120.0,ns,8964,1298,10262,100,1000,1
F3,3,full_eligible_macro_2class,Booleanisation plus named ensemble,459300.0,814564.9999999999,ns,8964,1298,10262,100,1000,1
F3,3,development_scope_macro_3class,named ensemble TM evaluations,640850.0,1178759.9999999995,ns,13932,1298,15230,100,1000,1
F3,3,development_scope_macro_3class,Booleanisation plus named ensemble,685500.0,1186864.9999999998,ns,13932,1298,15230,100,1000,1
F3,3,algorithmic_waiting,onset-to-output samples,33.0,205.7,samples,,,,0,527,1
F3,3,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,527,1
F3,4,fridge,TM evaluation only,197300.0,442204.9999999999,ns,4424,1298,5722,100,1000,1
F3,4,microwave,TM evaluation only,274650.0,432124.9999999999,ns,4474,1298,5772,100,1000,1
F3,4,dish washer,TM evaluation only,183300.0,354094.9999999998,ns,5042,1298,6340,100,1000,1
F3,4,full_eligible_macro_2class,named ensemble TM evaluations,410650.0,821504.9999999999,ns,8898,1298,10196,100,1000,1
F3,4,full_eligible_macro_2class,Booleanisation plus named ensemble,543650.0,961529.9999999997,ns,8898,1298,10196,100,1000,1
F3,4,development_scope_macro_3class,named ensemble TM evaluations,636250.0,1154670.0,ns,13940,1298,15238,100,1000,1
F3,4,development_scope_macro_3class,Booleanisation plus named ensemble,739050.0,1342519.9999999995,ns,13940,1298,15238,100,1000,1
F3,4,algorithmic_waiting,onset-to-output samples,33.0,205.7,samples,,,,0,527,1
F3,4,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,527,1
F4,0,fridge,TM evaluation only,209700.0,420915.0,ns,4404,1297,5701,100,1000,1
F4,0,microwave,TM evaluation only,183100.0,388700.0,ns,4380,1297,5677,100,1000,1
F4,0,dish washer,TM evaluation only,188600.0,368454.99999999994,ns,4948,1297,6245,100,1000,1
F4,0,full_eligible_macro_2class,named ensemble TM evaluations,596800.0,885135.0,ns,8784,1297,10081,100,1000,1
F4,0,full_eligible_macro_2class,Booleanisation plus named ensemble,679300.0,1114700.0,ns,8784,1297,10081,100,1000,1
F4,0,development_scope_macro_3class,named ensemble TM evaluations,802350.0,1228225.0,ns,13732,1297,15029,100,1000,1
F4,0,development_scope_macro_3class,Booleanisation plus named ensemble,954400.0,1401110.0,ns,13732,1297,15029,100,1000,1
F4,0,algorithmic_waiting,onset-to-output samples,19.0,180.4000000000001,samples,,,,0,689,1
F4,0,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,689,1
F4,1,fridge,TM evaluation only,181800.0,329319.9999999999,ns,4836,1297,6133,100,1000,1
F4,1,microwave,TM evaluation only,270200.0,441899.9999999999,ns,4398,1297,5695,100,1000,1
F4,1,dish washer,TM evaluation only,249900.0,411410.0,ns,4746,1297,6043,100,1000,1
F4,1,full_eligible_macro_2class,named ensemble TM evaluations,381300.0,724389.9999999999,ns,9234,1297,10531,100,1000,1
F4,1,full_eligible_macro_2class,Booleanisation plus named ensemble,573150.0,966860.0,ns,9234,1297,10531,100,1000,1
F4,1,development_scope_macro_3class,named ensemble TM evaluations,682500.0,1200529.9999999998,ns,13980,1297,15277,100,1000,1
F4,1,development_scope_macro_3class,Booleanisation plus named ensemble,717500.0,1329024.9999999998,ns,13980,1297,15277,100,1000,1
F4,1,algorithmic_waiting,onset-to-output samples,19.0,180.4000000000001,samples,,,,0,689,1
F4,1,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,689,1
F4,2,fridge,TM evaluation only,300050.0,483200.0,ns,4458,1297,5755,100,1000,1
F4,2,microwave,TM evaluation only,203050.0,387010.0,ns,4402,1297,5699,100,1000,1
F4,2,dish washer,TM evaluation only,195250.0,418510.0,ns,4568,1297,5865,100,1000,1
F4,2,full_eligible_macro_2class,named ensemble TM evaluations,469750.0,894784.9999999999,ns,8860,1297,10157,100,1000,1
F4,2,full_eligible_macro_2class,Booleanisation plus named ensemble,495250.0,929120.0,ns,8860,1297,10157,100,1000,1
F4,2,development_scope_macro_3class,named ensemble TM evaluations,732950.0,1233475.0,ns,13428,1297,14725,100,1000,1
F4,2,development_scope_macro_3class,Booleanisation plus named ensemble,743650.0,1400584.9999999995,ns,13428,1297,14725,100,1000,1
F4,2,algorithmic_waiting,onset-to-output samples,19.0,180.4000000000001,samples,,,,0,689,1
F4,2,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,689,1
F4,3,fridge,TM evaluation only,257600.0,437279.99999999994,ns,4392,1297,5689,100,1000,1
F4,3,microwave,TM evaluation only,195800.0,387705.0,ns,4350,1297,5647,100,1000,1
F4,3,dish washer,TM evaluation only,206850.0,479369.99999999994,ns,4704,1297,6001,100,1000,1
F4,3,full_eligible_macro_2class,named ensemble TM evaluations,486650.0,905129.9999999998,ns,8742,1297,10039,100,1000,1
F4,3,full_eligible_macro_2class,Booleanisation plus named ensemble,483850.0,950599.9999999998,ns,8742,1297,10039,100,1000,1
F4,3,development_scope_macro_3class,named ensemble TM evaluations,835900.0,1290644.9999999998,ns,13446,1297,14743,100,1000,1
F4,3,development_scope_macro_3class,Booleanisation plus named ensemble,989000.0,1452300.0,ns,13446,1297,14743,100,1000,1
F4,3,algorithmic_waiting,onset-to-output samples,19.0,180.4000000000001,samples,,,,0,689,1
F4,3,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,689,1
F4,4,fridge,TM evaluation only,182850.0,356559.99999999994,ns,4658,1297,5955,100,1000,1
F4,4,microwave,TM evaluation only,185700.0,383649.99999999994,ns,4176,1297,5473,100,1000,1
F4,4,dish washer,TM evaluation only,258750.0,429364.99999999994,ns,4824,1297,6121,100,1000,1
F4,4,full_eligible_macro_2class,named ensemble TM evaluations,428850.0,806009.9999999998,ns,8834,1297,10131,100,1000,1
F4,4,full_eligible_macro_2class,Booleanisation plus named ensemble,622850.0,879955.0,ns,8834,1297,10131,100,1000,1
F4,4,development_scope_macro_3class,named ensemble TM evaluations,743550.0,1184910.0,ns,13658,1297,14955,100,1000,1
F4,4,development_scope_macro_3class,Booleanisation plus named ensemble,801500.0,1403490.0,ns,13658,1297,14955,100,1000,1
F4,4,algorithmic_waiting,onset-to-output samples,19.0,180.4000000000001,samples,,,,0,689,1
F4,4,algorithmic_waiting,fall-to-output samples; 24 nominal seconds,8.0,8.0,samples,,,,0,689,1
