fold,seed,house,appliance,tp,tn,fp,fn,eligible_positive_support,eligible_negative_support,excluded_unavailable_count,precision,recall,f1,binary_accuracy,precision_zero_denominator,recall_zero_denominator,f1_zero_denominator,accuracy_zero_denominator,matched_target_episode_count,unmatched_target_episode_count,duplicate_candidate_count,candidate_count,episode_coverage,episode_coverage_zero_denominator,excluded_reasons_json
F4,2,H3,dish washer,1,440,6,5,6,446,0,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.9756637168141593,False,False,False,False,6,0,20,452,1.0,False,{}
F4,2,H5,dish washer,0,19,0,0,0,19,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,19,0.0,True,{}
F4,2,H6,dish washer,0,40,0,0,0,40,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,40,0.0,True,{}
F4,2,ALL,dish washer,6,621,9,46,52,630,8,0.4,0.11538461538461539,0.1791044776119403,0.9193548387096774,False,False,False,False,51,1,33,689,0.9807692307692307,False,"{""incomplete_one_sample"":8}"
F4,3,H1,fridge,19,120,16,48,67,136,4,0.5428571428571428,0.2835820895522388,0.37254901960784315,0.6847290640394089,False,False,False,False,38,29,74,178,0.5671641791044776,False,"{""incomplete_one_sample"":4}"
F4,3,H3,fridge,37,356,16,55,92,372,9,0.6981132075471698,0.40217391304347827,0.5103448275862069,0.8469827586206896,False,False,False,False,71,21,206,452,0.7717391304347826,False,"{""incomplete_one_sample"":8,""right_censored"":1}"
F4,3,H5,fridge,1,15,1,3,4,16,0,0.5,0.25,0.3333333333333333,0.8,False,False,False,False,3,1,12,19,0.75,False,{}
F4,3,H6,fridge,12,14,5,35,47,19,0,0.7058823529411765,0.2553191489361702,0.375,0.3939393939393939,False,False,False,False,21,26,11,40,0.44680851063829785,False,{}
F4,3,ALL,fridge,69,505,38,141,210,543,13,0.6448598130841121,0.32857142857142857,0.4353312302839117,0.7622841965471447,False,False,False,False,133,77,303,689,0.6333333333333333,False,"{""incomplete_one_sample"":12,""right_censored"":1}"
F4,3,H1,microwave,9,139,5,15,24,144,17,0.6428571428571429,0.375,0.47368421052631576,0.8809523809523809,False,False,False,False,17,7,13,178,0.7083333333333334,False,"{""incomplete_one_sample"":17}"
F4,3,H3,microwave,1,433,11,6,7,444,1,0.08333333333333333,0.14285714285714285,0.10526315789473684,0.9623059866962306,False,False,False,False,7,0,26,452,1.0,False,"{""incomplete_one_sample"":1}"
F4,3,H5,microwave,0,19,0,0,0,19,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,19,0.0,True,{}
F4,3,H6,microwave,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,True,True,True,True,0,0,0,40,0.0,True,"{""label_unavailable"":40}"
F4,3,ALL,microwave,10,591,16,21,31,607,58,0.38461538461538464,0.3225806451612903,0.3508771929824561,0.9420062695924765,False,False,False,False,24,7,39,689,0.7741935483870968,False,"{""incomplete_one_sample"":18,""label_unavailable"":40}"
F4,3,H1,dish washer,10,122,3,36,46,125,8,0.7692307692307693,0.21739130434782608,0.3389830508474576,0.7719298245614035,False,False,False,False,45,1,13,178,0.9782608695652174,False,"{""incomplete_one_sample"":8}"
